,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
594,QWEN2,0.7011,0.7223,0.6932,0.7238,few-shot,2,2,2,0.2
595,LLAMA3,0.7034,0.7724,0.6931,0.6935,few-shot,2,2,2,0.5
596,GEMMA2-9B,0.6982,0.7356,0.693,0.7152,zero-shot,2,1,,0.0
597,GEMMA2-27B,0.6917,0.74,0.6929,0.7157,few-shot,1,2,1,0.5
598,QWEN2,0.7016,0.7215,0.6929,0.7243,few-shot,1,2,2,0.2
599,LLAMA3.1,0.7346,0.6846,0.6928,0.7355,many-shot,3,2,2,1.0
600,GEMMA2-9B,0.7047,0.7539,0.6927,0.7088,few-shot,2,2,1,0.0
601,MISTRAL_NEMO,0.7552,0.6671,0.6926,0.7544,one-shot,3,2,1,1.0
602,GEMMA2-9B,0.6962,0.7423,0.6925,0.712,one-shot,2,2,1,0.0
603,GEMMA2-27B,0.6847,0.7331,0.6924,0.7179,zero-shot,2,2,,1.0
604,QWEN2,0.6813,0.7223,0.6923,0.7195,one-shot,3,2,2,0.0
605,QWEN2,0.7014,0.7225,0.6923,0.7227,few-shot,1,2,2,0.5
606,LLAMA3,0.6745,0.7297,0.6922,0.7018,one-shot,1,1,2,1.0
607,QWEN2,0.6942,0.7331,0.6922,0.719,many-shot,1,1,1,0.2
608,LLAMA3.1,0.7321,0.6922,0.6921,0.7308,few-shot,3,2,2,0.5
609,GEMMA2-9B,0.7034,0.7523,0.6921,0.7088,few-shot,2,2,1,0.5
610,QWEN2,0.6973,0.7373,0.692,0.7147,many-shot,1,2,2,0.5
611,GEMMA2-9B,0.7032,0.7484,0.6919,0.7104,many-shot,2,2,1,1.0
612,QWEN2,0.6791,0.727,0.6918,0.7147,many-shot,1,1,2,0.5
613,GEMMA2-27B,0.6887,0.7237,0.6917,0.7211,few-shot,2,2,1,0.2
614,GEMMA2-27B,0.6895,0.7176,0.6917,0.72,one-shot,2,1,1,0.2
615,MISTRAL_NEMO,0.6959,0.7021,0.6916,0.7227,many-shot,2,1,2,1.0
616,GEMMA2-9B,0.7733,0.6834,0.6915,0.7297,many-shot,3,1,2,1.0
617,LLAMA3,0.6736,0.7311,0.6914,0.7034,few-shot,2,1,2,0.2
618,QWEN2,0.7061,0.7297,0.6913,0.72,many-shot,3,2,2,0.5
619,GEMMA2-9B,0.6992,0.7495,0.6913,0.7086,few-shot,1,2,1,1.0
620,GEMMA2-9B,0.6977,0.7423,0.6908,0.7104,many-shot,3,1,1,0.0
621,QWEN2,0.6839,0.7264,0.6906,0.7147,few-shot,2,1,1,0.5
622,GEMMA2-27B,0.6826,0.7289,0.6906,0.7174,zero-shot,2,2,,0.0
623,MISTRAL_NEMO,0.7014,0.6814,0.6905,0.7203,many-shot,2,1,1,1.0
624,GEMMA2-9B,0.6952,0.7406,0.6905,0.7098,one-shot,2,2,1,0.5
625,GEMMA2-9B,0.6933,0.7507,0.6905,0.7066,one-shot,2,2,2,0.2
626,LLAMA3.1,0.7029,0.7362,0.6904,0.7125,many-shot,1,2,2,0.0
627,QWEN2,0.6756,0.7267,0.6904,0.7131,one-shot,3,1,2,0.2
628,QWEN2,0.683,0.7211,0.6904,0.7184,few-shot,1,1,1,1.0
629,GEMMA2-9B,0.6935,0.7505,0.6904,0.7066,one-shot,2,2,2,0.0
630,GEMMA2-9B,0.7104,0.6789,0.6903,0.7071,few-shot,2,1,2,0.5
631,MISTRAL_NEMO,0.6925,0.6885,0.6903,0.7163,few-shot,1,1,1,1.0
632,GEMMA2-27B,0.6824,0.7286,0.6903,0.7168,zero-shot,2,2,,0.2
633,GEMMA2-27B,0.6929,0.6881,0.6902,0.7512,one-shot,1,2,2,0.0
634,GEMMA2-9B,0.6937,0.7494,0.6902,0.7066,one-shot,2,2,2,0.5
635,GEMMA2-27B,0.6918,0.7045,0.6901,0.72,few-shot,1,1,2,1.0
636,LLAMA3,0.6771,0.7266,0.6901,0.7062,many-shot,1,1,2,0.5
637,QWEN2,0.6914,0.7328,0.6901,0.7157,many-shot,1,1,1,0.5
638,GEMMA2-9B,0.6962,0.7468,0.69,0.7088,zero-shot,1,1,,1.0
639,GEMMA2-27B,0.6873,0.7201,0.69,0.7206,few-shot,2,2,1,0.5
640,GEMMA2-27B,0.6917,0.6886,0.6898,0.7496,one-shot,1,2,2,1.0
641,GEMMA2-27B,0.6872,0.7154,0.6897,0.7184,one-shot,2,1,1,0.5
642,GEMMA2-9B,0.6975,0.742,0.6897,0.7093,many-shot,3,1,1,0.2
643,GEMMA2-9B,0.6933,0.7388,0.6895,0.7093,one-shot,2,2,1,0.2
644,QWEN2,0.6758,0.7253,0.6895,0.7141,one-shot,3,1,2,0.5
645,QWEN2,0.698,0.7186,0.6894,0.7206,few-shot,2,2,2,0.0
646,GEMMA2-27B,0.6814,0.7286,0.6893,0.7152,zero-shot,2,2,,0.5
647,GEMMA2-9B,0.6934,0.733,0.6893,0.7104,zero-shot,2,1,,1.0
648,LLAMA3.1,0.7294,0.6657,0.6891,0.7308,few-shot,3,1,2,0.0
649,GEMMA2-9B,0.6944,0.732,0.689,0.7109,zero-shot,2,1,,0.5
650,GEMMA2-27B,0.6864,0.7213,0.6889,0.7179,few-shot,2,2,1,0.0
651,LLAMA3,0.6712,0.7286,0.6888,0.7018,few-shot,2,1,2,0.0
652,QWEN2,0.6941,0.7201,0.6883,0.719,many-shot,2,1,1,0.0
653,QWEN2,0.6833,0.7039,0.6883,0.7254,zero-shot,1,2,,0.2
654,QWEN2,0.6784,0.7191,0.6883,0.7174,one-shot,3,2,2,1.0
655,LLAMA3.1,0.7013,0.7354,0.6883,0.7098,many-shot,1,2,2,0.2
656,GEMMA2-9B,0.6968,0.748,0.6881,0.7039,one-shot,1,2,2,0.5
657,LLAMA3.1,0.673,0.7256,0.6881,0.7141,many-shot,2,2,1,0.0
658,QWEN2,0.6824,0.7036,0.688,0.7254,zero-shot,1,2,,0.5
659,GEMMA2-2B,0.6844,0.6964,0.6879,0.7217,many-shot,3,2,2,0.5
660,GEMMA2-9B,0.6947,0.743,0.6879,0.7071,zero-shot,1,1,,0.2
661,GEMMA2-9B,0.7081,0.6761,0.6878,0.7077,few-shot,2,1,2,0.0
662,GEMMA2-9B,0.695,0.7488,0.6877,0.7028,one-shot,1,2,2,0.0
663,QWEN2,0.6793,0.7245,0.6876,0.7118,few-shot,2,1,1,1.0
664,LLAMA3,0.7074,0.676,0.6876,0.7249,one-shot,3,1,1,0.0
665,GEMMA2-27B,0.6853,0.7212,0.6876,0.7157,few-shot,2,2,1,1.0
666,GEMMA2-9B,0.6951,0.7479,0.6875,0.7028,one-shot,1,2,2,0.2
667,QWEN2,0.6931,0.7173,0.6874,0.719,many-shot,2,1,1,0.5
668,GEMMA2-27B,0.6903,0.685,0.6873,0.7496,one-shot,1,2,2,0.2
669,GEMMA2-9B,0.6945,0.7422,0.6873,0.7066,zero-shot,1,1,,0.0
670,QWEN2,0.6983,0.7244,0.687,0.7152,many-shot,3,2,2,1.0
671,LLAMA3,0.7024,0.6775,0.687,0.7238,one-shot,3,1,1,0.2
672,QWEN2,0.6945,0.7178,0.6869,0.7184,many-shot,2,1,1,0.2
673,GEMMA2-9B,0.7859,0.6531,0.6869,0.728,many-shot,1,1,2,0.0
674,MISTRAL_NEMO,0.6875,0.696,0.6868,0.7089,few-shot,3,2,1,1.0
675,GEMMA2-2B,0.6846,0.6925,0.6866,0.7211,many-shot,3,2,2,0.2
676,GEMMA2-9B,0.6945,0.7408,0.6865,0.7066,zero-shot,1,1,,0.5
677,LLAMA3.1,0.7301,0.6619,0.6863,0.734,many-shot,2,1,2,0.2
678,MISTRAL_NEMO,0.6771,0.7205,0.6862,0.7157,one-shot,2,2,2,1.0
679,GEMMA2-27B,0.6913,0.6863,0.6862,0.7222,few-shot,2,1,2,0.2
680,GEMMA2-2B,0.6828,0.6942,0.6861,0.7195,many-shot,3,2,2,0.0
681,GEMMA2-9B,0.7,0.7295,0.6858,0.7082,zero-shot,2,2,,0.2
682,QWEN2,0.6937,0.7181,0.6857,0.7157,few-shot,1,2,2,1.0
683,QWEN2,0.6934,0.7153,0.6856,0.7172,few-shot,2,2,2,0.5
684,LLAMA3,0.6709,0.7297,0.6856,0.7007,few-shot,1,1,2,0.5
685,GEMMA2-9B,0.6972,0.7442,0.6856,0.7023,few-shot,2,2,1,1.0
686,LLAMA3.1,0.7327,0.6603,0.6855,0.7356,many-shot,2,1,2,0.0
687,GEMMA2-9B,0.6935,0.7361,0.6855,0.705,many-shot,3,1,1,0.5
688,GEMMA2-9B,0.6946,0.7357,0.6855,0.7045,one-shot,1,2,1,0.5
689,GEMMA2-9B,0.6857,0.6872,0.6854,0.6998,few-shot,1,1,2,1.0
690,GEMMA2-9B,0.7051,0.6734,0.6854,0.7066,few-shot,2,1,2,0.2
691,GEMMA2-9B,0.7001,0.7288,0.6852,0.7077,zero-shot,2,2,,0.0
692,QWEN2,0.6934,0.7243,0.685,0.7098,many-shot,2,2,2,0.5
693,LLAMA3.1,0.7261,0.6614,0.6849,0.7297,few-shot,3,1,2,0.2
694,QWEN2,0.6799,0.6988,0.6848,0.7233,zero-shot,1,2,,1.0
695,QWEN2,0.6768,0.7143,0.6847,0.7141,one-shot,3,2,1,0.2
696,GEMMA2-27B,0.6882,0.6864,0.6845,0.7195,few-shot,2,1,2,0.5
697,GEMMA2-9B,0.7859,0.6506,0.6843,0.7274,many-shot,1,1,2,0.2
698,QWEN2,0.706,0.7203,0.684,0.7147,few-shot,3,2,2,0.0
699,GEMMA2-9B,0.6924,0.7313,0.6839,0.7039,one-shot,1,2,1,0.2
700,LLAMA3.1,0.698,0.6808,0.6837,0.7254,zero-shot,3,2,,0.2
701,GEMMA2-27B,0.6843,0.7159,0.6837,0.7077,few-shot,1,1,1,0.5
702,LLAMA3.1,0.6685,0.7221,0.6836,0.7074,many-shot,2,2,1,0.2
703,PHI3_MEDIUM,0.6767,0.7367,0.6833,0.6982,few-shot,3,2,2,1.0
704,LLAMA3.1,0.6808,0.708,0.6833,0.7066,one-shot,1,1,1,0.0
705,GEMMA2-27B,0.686,0.6832,0.6832,0.7281,one-shot,2,1,2,1.0
706,QWEN2,0.6757,0.7117,0.6828,0.7131,one-shot,3,2,1,0.0
707,GEMMA2-9B,0.691,0.7306,0.6828,0.7028,one-shot,1,2,1,0.0
708,GEMMA2-2B,0.6795,0.6889,0.6826,0.7152,few-shot,3,2,2,0.2
709,PHI3.5_MINI,0.6698,0.7291,0.6825,0.7029,one-shot,3,2,2,0.2
710,LLAMA3.1,0.6803,0.7079,0.6825,0.7071,one-shot,1,1,1,0.2
711,GEMMA2-27B,0.687,0.7356,0.6825,0.7039,many-shot,2,2,1,0.2
712,QWEN2,0.7012,0.7172,0.6824,0.7131,few-shot,3,2,2,1.0
713,GEMMA2-27B,0.6862,0.6816,0.6823,0.7286,one-shot,2,1,2,0.2
714,GEMMA2-27B,0.6865,0.6808,0.6821,0.7297,one-shot,2,1,2,0.0
715,QWEN2,0.6723,0.7211,0.6821,0.7077,zero-shot,3,2,,0.5
716,GEMMA2-2B,0.6804,0.6866,0.682,0.7152,few-shot,3,2,2,0.0
717,GEMMA2-27B,0.6864,0.735,0.6819,0.7034,many-shot,2,2,1,0.0
718,LLAMA3,0.6904,0.6754,0.6818,0.7163,one-shot,3,1,1,0.5
719,GEMMA2-27B,0.6861,0.6827,0.6818,0.7179,few-shot,2,1,2,0.0
720,LLAMA3.1,0.7303,0.6554,0.6818,0.726,many-shot,1,1,2,0.5
721,LLAMA3.1,0.6963,0.6785,0.6817,0.7249,zero-shot,3,2,,0.0
722,GEMMA2-27B,0.6844,0.6798,0.6817,0.7448,one-shot,1,2,2,0.5
723,QWEN2,0.6724,0.7216,0.6816,0.707,zero-shot,3,2,,1.0
724,QWEN2,0.6673,0.7163,0.6812,0.7045,many-shot,2,1,2,1.0
725,QWEN2,0.6713,0.7216,0.6811,0.7061,zero-shot,3,2,,0.2
726,MISTRAL_NEMO,0.6688,0.7355,0.681,0.7007,many-shot,1,2,1,1.0
727,GEMMA2-2B,0.6787,0.6859,0.681,0.7157,few-shot,3,2,2,0.5
728,QWEN2,0.6711,0.722,0.6809,0.7055,zero-shot,3,2,,0.0
729,GEMMA2-27B,0.6826,0.7119,0.6808,0.7045,few-shot,1,1,1,0.2
730,GEMMA2-27B,0.6854,0.7332,0.6808,0.7023,many-shot,2,2,1,0.5
731,QWEN2,0.6844,0.7247,0.6807,0.7034,many-shot,2,2,2,1.0
732,PHI3.5_MINI,0.6684,0.7262,0.6807,0.7015,one-shot,3,2,2,0.0
733,LLAMA3.1,0.6726,0.6907,0.6807,0.707,many-shot,1,1,1,0.0
734,QWEN2,0.6836,0.6846,0.6805,0.7265,zero-shot,2,2,,0.2
735,LLAMA3,0.6711,0.7512,0.6804,0.6889,one-shot,3,2,1,1.0
736,GEMMA2-27B,0.6824,0.7115,0.6803,0.7039,few-shot,1,1,1,0.0
737,LLAMA3.1,0.6923,0.7261,0.6802,0.7007,many-shot,1,2,2,0.5
738,MISTRAL_NEMO,0.7011,0.6665,0.6802,0.7258,one-shot,1,1,1,0.5
739,QWEN2,0.6692,0.7117,0.6801,0.7071,many-shot,1,1,2,1.0
740,QWEN2,0.6838,0.6834,0.6801,0.7265,zero-shot,2,2,,0.0
741,QWEN2,0.7023,0.7171,0.68,0.712,few-shot,3,2,2,0.5
742,GEMMA2-9B,0.6934,0.7228,0.68,0.7023,zero-shot,2,2,,0.5
743,LLAMA3.2_3B,0.6798,0.7172,0.6799,0.7045,many-shot,3,2,2,0.2
744,MISTRAL_NEMO,0.7073,0.6627,0.6799,0.7308,zero-shot,3,1,,0.0
745,LLAMA3.1,0.7219,0.6788,0.6797,0.7206,few-shot,3,2,2,1.0
746,QWEN2,0.7019,0.7155,0.6795,0.7104,few-shot,3,2,2,0.2
747,QWEN2,0.6664,0.7216,0.6795,0.7023,one-shot,2,1,1,0.0
748,GEMMA2-2B,0.677,0.6851,0.6795,0.7113,many-shot,3,2,2,1.0
749,LLAMA3.1,0.6809,0.6812,0.6792,0.7012,few-shot,2,1,2,1.0
750,GEMMA2-9B,0.6888,0.7385,0.6792,0.6948,one-shot,1,2,2,1.0
751,PHI3.5_MINI,0.667,0.7253,0.6791,0.6997,one-shot,3,2,2,0.5
752,QWEN2,0.6818,0.6828,0.679,0.7243,zero-shot,2,2,,1.0
753,GEMMA2-9B,0.6817,0.7158,0.679,0.6991,many-shot,2,1,1,0.2
754,PHI3.5_MINI,0.6696,0.692,0.6789,0.7159,many-shot,3,2,2,0.5
755,PHI3.5_MINI,0.6667,0.7251,0.6789,0.6987,one-shot,3,2,2,1.0
756,LLAMA3,0.6686,0.7491,0.6787,0.6857,one-shot,3,2,1,0.5
757,PHI3.5_MINI,0.6689,0.6921,0.6784,0.7162,many-shot,3,2,2,0.0
758,LLAMA3,0.6705,0.7065,0.6784,0.6812,many-shot,2,1,2,0.0
759,QWEN2,0.6851,0.7079,0.6783,0.7109,many-shot,2,1,1,1.0
760,LLAMA3.1,0.6811,0.7224,0.6783,0.6996,many-shot,2,2,2,1.0
761,QWEN2,0.6702,0.7082,0.678,0.7066,one-shot,3,2,1,0.5
762,GEMMA2-9B,0.6806,0.7145,0.678,0.6985,many-shot,2,1,1,0.0
763,GEMMA2-27B,0.6807,0.7131,0.6779,0.7007,few-shot,1,1,1,1.0
764,QWEN2,0.6804,0.7125,0.6779,0.7055,few-shot,2,2,1,0.2
765,QWEN2,0.6715,0.7185,0.6775,0.705,one-shot,3,1,1,0.2
766,LLAMA3,0.6691,0.7506,0.6774,0.6846,one-shot,3,2,1,0.0
767,QWEN2,0.6777,0.7181,0.6773,0.7023,few-shot,1,2,1,0.0
768,PHI3.5_MINI,0.6743,0.7159,0.6773,0.7028,one-shot,3,2,1,0.0
769,LLAMA3.2_3B,0.6758,0.7146,0.6772,0.7023,many-shot,3,2,2,0.0
770,PHI3.5_MINI,0.675,0.6924,0.6771,0.7092,few-shot,3,2,1,0.0
771,LLAMA3.2_3B,0.6763,0.7187,0.6771,0.7002,many-shot,3,2,2,0.5
772,QWEN2,0.6792,0.7204,0.677,0.7012,few-shot,1,2,1,1.0
773,QWEN2,0.6648,0.7221,0.677,0.6996,one-shot,2,1,1,0.5
774,MISTRAL_NEMO,0.7,0.6734,0.677,0.719,zero-shot,2,2,,0.0
775,PHI3.5_MINI,0.6744,0.7163,0.6768,0.7017,one-shot,3,2,1,0.5
776,GEMMA2-9B,0.6925,0.7189,0.6766,0.6996,zero-shot,2,2,,1.0
777,MISTRAL_NEMO,0.6907,0.6795,0.6761,0.7134,zero-shot,2,2,,1.0
778,PHI3.5_MINI,0.6671,0.689,0.6761,0.7139,many-shot,3,2,2,0.2
779,LLAMA3,0.6667,0.7473,0.6761,0.683,one-shot,3,2,1,0.2
780,QWEN2,0.6868,0.7429,0.676,0.6932,many-shot,3,2,1,0.2
781,GEMMA2-9B,0.6997,0.6627,0.6759,0.6969,few-shot,2,1,2,1.0
782,PHI3.5_MINI,0.6735,0.7156,0.6758,0.702,one-shot,3,2,1,0.2
783,PHI3.5_MINI,0.6729,0.692,0.6758,0.7083,few-shot,3,2,1,0.2
784,QWEN2,0.6866,0.7434,0.6758,0.6926,many-shot,3,2,1,0.0
785,QWEN2,0.67,0.7166,0.6758,0.7034,one-shot,3,1,1,0.0
786,GEMMA2-27B,0.681,0.6755,0.6757,0.7147,few-shot,2,1,2,1.0
787,GEMMA2-27B,0.6796,0.675,0.6757,0.7233,one-shot,2,1,2,0.5
788,PHI3.5_MINI,0.6731,0.6915,0.6757,0.7089,few-shot,3,2,1,0.5
789,PHI3.5_MINI,0.6717,0.7155,0.6756,0.701,one-shot,3,2,1,1.0
790,QWEN2,0.6683,0.7237,0.6756,0.6991,one-shot,1,1,1,0.0
791,QWEN2,0.6686,0.7177,0.6755,0.7018,one-shot,3,1,1,0.5
792,MISTRAL_NEMO,0.6958,0.6735,0.6753,0.7157,zero-shot,2,2,,0.2
793,LLAMA3,0.6666,0.7046,0.6753,0.6778,many-shot,2,1,2,0.2
794,QWEN2,0.6789,0.7219,0.6753,0.6991,one-shot,2,2,2,0.0
795,QWEN2,0.6799,0.7224,0.6752,0.6991,one-shot,2,2,2,0.2
796,QWEN2,0.6629,0.7176,0.6752,0.698,one-shot,2,1,1,0.2
797,GEMMA2-9B,0.6752,0.7129,0.6751,0.6943,many-shot,2,1,1,0.5
798,GEMMA2-27B,0.6812,0.7287,0.6749,0.6953,many-shot,2,2,1,1.0
799,QWEN2,0.6676,0.7073,0.6748,0.7034,one-shot,3,2,1,1.0
800,QWEN2,0.679,0.7229,0.6746,0.6975,one-shot,2,2,2,0.5
801,QWEN2,0.6751,0.7115,0.6745,0.7002,few-shot,2,2,1,0.5
802,QWEN2,0.676,0.7102,0.6744,0.7012,few-shot,2,2,1,1.0
803,QWEN2,0.6747,0.7172,0.6743,0.698,few-shot,1,2,1,0.2
804,QWEN2,0.6819,0.7353,0.6743,0.6905,many-shot,2,2,1,0.0
805,GEMMA2-9B,0.6828,0.7228,0.6743,0.6937,one-shot,1,2,1,1.0
806,GEMMA2-9B,0.6882,0.7372,0.6741,0.69,zero-shot,1,2,,0.5
807,PHI3.5_MINI,0.6642,0.6891,0.674,0.7106,many-shot,3,2,2,1.0
808,QWEN2,0.6788,0.723,0.6738,0.6969,one-shot,2,2,2,1.0
809,QWEN2,0.6848,0.74,0.6737,0.691,many-shot,3,2,1,0.5
810,GEMMA2-9B,0.6896,0.7355,0.6736,0.6894,zero-shot,1,2,,1.0
811,GEMMA2-9B,0.6878,0.7359,0.6736,0.6894,zero-shot,1,2,,0.0
812,QWEN2,0.6659,0.7238,0.6733,0.6959,one-shot,1,1,1,1.0
813,LLAMA3.1,0.6821,0.6703,0.6732,0.7134,zero-shot,3,2,,0.5
814,LLAMA3.1,0.7093,0.6511,0.6731,0.7117,many-shot,1,1,2,1.0
815,PHI3.5_MINI,0.6693,0.689,0.6728,0.7063,few-shot,3,2,1,1.0
816,GEMMA2-9B,0.7697,0.6408,0.6727,0.7204,many-shot,1,1,2,0.5
817,QWEN2,0.6759,0.6759,0.6726,0.7206,zero-shot,2,2,,0.5
818,GEMMA2-27B,0.6691,0.7215,0.6723,0.698,many-shot,1,2,1,0.0
819,QWEN2,0.675,0.7065,0.6721,0.6996,few-shot,2,2,1,0.0
820,GEMMA2-27B,0.6732,0.7476,0.6719,0.683,many-shot,3,1,1,0.5
821,LLAMA3.2_3B,0.6721,0.7092,0.6717,0.698,many-shot,3,2,2,1.0
822,QWEN2,0.6822,0.6987,0.6716,0.7039,few-shot,2,2,2,1.0
823,QWEN2,0.6792,0.7317,0.6716,0.6883,many-shot,2,2,1,0.2
824,QWEN2,0.6775,0.7195,0.6715,0.6953,one-shot,1,2,2,0.0
825,GEMMA2-9B,0.6858,0.7339,0.6715,0.6873,zero-shot,1,2,,0.2
826,LLAMA3,0.6539,0.7102,0.6713,0.683,few-shot,2,1,2,0.5
827,LLAMA3.1,0.6582,0.7006,0.6711,0.7046,many-shot,1,2,1,0.0
828,QWEN2,0.6781,0.7218,0.671,0.6937,one-shot,1,2,2,1.0
829,QWEN2,0.6642,0.7188,0.6704,0.6943,one-shot,1,1,1,0.2
830,QWEN2,0.6757,0.719,0.6704,0.6937,one-shot,1,2,2,0.2
831,QWEN2,0.6771,0.7188,0.6704,0.6916,many-shot,1,2,2,1.0
832,MISTRAL_NEMO,0.6597,0.6878,0.6704,0.6888,many-shot,3,2,1,1.0
833,GEMMA2-27B,0.6663,0.7183,0.6704,0.6964,many-shot,1,2,1,0.5
834,QWEN2,0.6715,0.7128,0.6702,0.6953,many-shot,1,1,1,1.0
835,GEMMA2-9B,0.6716,0.7112,0.6699,0.6883,many-shot,2,1,1,1.0
836,QWEN2,0.675,0.7157,0.6695,0.6943,one-shot,1,2,2,0.5
837,LLAMA3,0.6557,0.704,0.6695,0.6862,many-shot,1,1,2,1.0
838,LLAMA3.1,0.6553,0.7327,0.6694,0.6792,few-shot,2,1,1,0.2
839,GEMMA2-27B,0.674,0.6662,0.6692,0.7319,one-shot,2,2,2,0.5
840,QWEN2,0.6634,0.7122,0.669,0.6948,one-shot,3,1,1,1.0
841,QWEN2,0.6777,0.7311,0.6689,0.6846,many-shot,2,2,1,0.5
842,QWEN2,0.662,0.7175,0.6687,0.6921,one-shot,1,1,1,0.5
843,GEMMA2-27B,0.6664,0.7155,0.6687,0.6956,many-shot,1,2,1,1.0
844,MISTRAL_NEMO,0.6697,0.7095,0.6683,0.6941,one-shot,1,2,2,1.0
845,MISTRAL_NEMO,0.6847,0.6792,0.6683,0.7053,few-shot,1,1,2,1.0
846,LLAMA3.1,0.7021,0.6593,0.6683,0.719,zero-shot,1,2,,0.0
847,MISTRAL_NEMO,0.6646,0.6919,0.668,0.6953,zero-shot,1,1,,0.0
848,QWEN2,0.6702,0.711,0.668,0.6926,few-shot,1,2,1,0.5
849,GEMMA2-27B,0.672,0.6652,0.6678,0.7319,one-shot,2,2,2,1.0
850,LLAMA3.1,0.6531,0.7308,0.6676,0.6765,few-shot,2,1,1,0.0
851,GEMMA2-27B,0.6645,0.7166,0.6675,0.693,many-shot,1,2,1,0.2
852,LLAMA3.1,0.6725,0.6818,0.6675,0.705,one-shot,3,2,1,0.2
853,GEMMA2-27B,0.6699,0.7423,0.6672,0.6787,many-shot,3,1,1,0.0
854,GEMMA2-2B,0.6576,0.7205,0.6669,0.6857,few-shot,1,2,2,0.5
855,GEMMA2-27B,0.6684,0.7426,0.6667,0.6776,many-shot,3,1,1,0.2
856,QWEN2,0.6698,0.7307,0.6667,0.684,few-shot,3,2,1,0.2
857,LLAMA3.1,0.6734,0.6789,0.6664,0.7061,one-shot,3,2,1,0.0
858,LLAMA3.1,0.6546,0.6909,0.6662,0.7013,many-shot,1,2,1,0.2
859,LLAMA3.1,0.6555,0.741,0.666,0.6738,few-shot,1,1,1,0.0
860,MISTRAL_NEMO,0.6939,0.6483,0.6658,0.7174,zero-shot,3,1,,0.2
861,GEMMA2-27B,0.6709,0.6626,0.6658,0.7303,one-shot,2,2,2,0.2
862,PHI3.5_MINI,0.6515,0.7028,0.6656,0.69,few-shot,3,2,2,0.5
863,QWEN2,0.6747,0.7062,0.6656,0.6926,one-shot,1,2,1,0.2
864,LLAMA3.1,0.6555,0.7386,0.6656,0.6749,few-shot,1,1,1,0.2
865,LLAMA3.1,0.6652,0.6886,0.6655,0.6652,one-shot,3,1,2,0.0
866,LLAMA3,0.6593,0.6913,0.6655,0.6665,many-shot,2,1,2,0.5
867,QWEN2,0.6746,0.7073,0.6653,0.6921,one-shot,1,2,1,1.0
868,GEMMA2-27B,0.6705,0.6616,0.6651,0.7303,one-shot,2,2,2,0.0
869,QWEN2,0.6767,0.7306,0.6651,0.6797,many-shot,2,2,1,1.0
870,GEMMA2-2B,0.6561,0.7162,0.6651,0.6851,few-shot,1,2,2,0.2
871,QWEN2,0.6693,0.7289,0.665,0.6824,few-shot,3,2,1,0.5
872,MISTRAL_NEMO,0.6784,0.6772,0.6649,0.6982,zero-shot,1,2,,0.2
873,QWEN2,0.6736,0.7056,0.6648,0.6916,one-shot,1,2,1,0.0
874,PHI3.5_MINI,0.6509,0.701,0.6647,0.6902,few-shot,3,2,2,0.2
875,LLAMA3.1,0.7012,0.6537,0.6644,0.7179,zero-shot,1,2,,0.2
876,QWEN2,0.6686,0.7276,0.6644,0.6824,few-shot,3,2,1,0.0
877,GEMMA2-2B,0.6543,0.7139,0.6642,0.6846,few-shot,1,2,2,0.0
878,PHI3.5_MINI,0.6503,0.6993,0.6642,0.6896,few-shot,3,2,2,0.0
879,LLAMA3.1,0.6505,0.7006,0.6642,0.6934,many-shot,2,2,1,0.5
880,LLAMA3.2_3B,0.6549,0.6816,0.6642,0.6956,few-shot,3,2,1,0.0
881,LLAMA3.1,0.6526,0.6904,0.6641,0.6824,one-shot,2,1,1,0.0
882,LLAMA3,0.6527,0.7372,0.664,0.6717,one-shot,1,1,1,0.0
883,LLAMA3.1,0.7018,0.6416,0.6634,0.712,many-shot,2,1,2,0.5
884,LLAMA3.1,0.6939,0.6468,0.6632,0.6953,one-shot,1,1,2,0.2
885,QWEN2,0.6801,0.7317,0.6632,0.6765,many-shot,1,2,1,0.0
886,GEMMA2-2B,0.6616,0.6676,0.6631,0.7034,few-shot,3,2,2,1.0
887,LLAMA3.1,0.6622,0.6871,0.663,0.662,one-shot,3,1,2,0.2
888,QWEN2,0.6736,0.7041,0.663,0.69,one-shot,1,2,1,0.5
889,MISTRAL_NEMO,0.6761,0.6755,0.663,0.6962,zero-shot,1,2,,0.0
890,LLAMA3.1,0.6944,0.6463,0.663,0.6943,one-shot,1,1,2,0.0
891,PHI3.5_MINI,0.6491,0.6983,0.6629,0.6882,few-shot,3,2,2,1.0
892,LLAMA3.1,0.6781,0.7288,0.6627,0.676,few-shot,1,2,2,0.0
893,QWEN2,0.6796,0.7313,0.6627,0.676,many-shot,1,2,1,0.2
894,LLAMA3.2_3B,0.6474,0.7033,0.6625,0.6819,one-shot,3,2,1,0.2
895,MISTRAL_NEMO,0.6672,0.6737,0.6625,0.6959,many-shot,3,1,2,1.0
896,QWEN2,0.6658,0.7281,0.6623,0.6808,few-shot,3,1,1,0.2
897,QWEN2,0.6648,0.7272,0.6617,0.6803,few-shot,3,1,1,0.0
898,LLAMA3.1,0.6757,0.7272,0.6616,0.6744,few-shot,1,2,2,0.2
899,MISTRAL_NEMO,0.6804,0.6481,0.6614,0.7066,zero-shot,3,1,,0.5
900,MISTRAL_NEMO,0.6809,0.6619,0.6614,0.7028,zero-shot,2,2,,0.5
