,Model,Precision,Recall,F1-Score,Accuracy,Method,System_Prompt,Query_Template,Examples_Method,Temperature
598,PHI3.5_MINI,0.3638,0.4037,0.3558,0.4676,many-shot,3,2,2,1.0
599,LLAMA3.1,0.5156,0.3127,0.3557,0.6043,few-shot,2,1,2,0.2
600,LLAMA3.1,0.5295,0.3208,0.3555,0.518,one-shot,3,1,2,0.0
601,GEMMA2-2B,0.4296,0.3812,0.3554,0.4173,one-shot,2,2,1,1.0
602,QWEN2,0.4205,0.3704,0.3547,0.482,zero-shot,2,2,,0.2
603,LLAMA3.1,0.4423,0.3255,0.3547,0.482,zero-shot,3,1,,0.5
604,LLAMA3,0.4894,0.3461,0.3539,0.4245,zero-shot,3,1,,0.5
605,PHI3_MEDIUM,0.3728,0.4084,0.3536,0.446,many-shot,3,2,2,0.0
606,MISTRAL_NEMO,0.4422,0.3532,0.3534,0.4532,one-shot,2,2,2,0.2
607,PHI3_MEDIUM,0.4089,0.3703,0.3534,0.4532,few-shot,1,2,2,0.5
608,LLAMA3.1,0.4626,0.3906,0.3532,0.3957,many-shot,2,2,2,0.5
609,QWEN2,0.4245,0.3588,0.3529,0.4964,zero-shot,1,2,,0.0
610,QWEN2,0.4258,0.3588,0.3528,0.4964,zero-shot,1,2,,0.2
611,LLAMA3,0.4562,0.4203,0.3527,0.3957,few-shot,3,1,1,0.2
612,GEMMA2-2B,0.4386,0.4607,0.3524,0.4101,few-shot,3,1,2,0.2
613,LLAMA3.1,0.4422,0.3552,0.3523,0.446,many-shot,2,2,2,1.0
614,LLAMA3.1,0.4249,0.3228,0.3523,0.6043,few-shot,1,2,2,1.0
615,GEMMA2-9B,0.4402,0.3759,0.3522,0.5252,one-shot,1,1,1,0.0
616,PHI3.5_MINI,0.3843,0.3933,0.3515,0.446,many-shot,2,2,2,0.2
617,LLAMA3.1,0.4687,0.3248,0.3514,0.5324,zero-shot,3,1,,0.0
618,QWEN2,0.4667,0.3342,0.3514,0.518,one-shot,1,2,2,1.0
619,LLAMA3.1,0.4221,0.341,0.3513,0.5108,one-shot,2,2,1,0.2
620,QWEN2,0.4185,0.3703,0.3507,0.4532,one-shot,3,2,1,1.0
621,LLAMA3.1,0.5046,0.3188,0.3505,0.482,one-shot,2,1,1,1.0
622,LLAMA3.1,0.4802,0.371,0.3503,0.4173,many-shot,1,2,2,0.2
623,LLAMA3.1,0.4804,0.371,0.3501,0.4173,many-shot,1,2,2,0.0
624,MISTRAL_NEMO,0.6278,0.3267,0.3501,0.5612,one-shot,3,1,1,0.0
625,PHI3.5_MINI,0.3946,0.3874,0.35,0.3957,many-shot,1,2,2,0.2
626,LLAMA3.2_3B,0.3764,0.3508,0.3499,0.5396,few-shot,2,2,2,0.5
627,MISTRAL_NEMO,0.7195,0.4164,0.3495,0.3094,few-shot,2,1,1,0.0
628,LLAMA3.1,0.3849,0.3393,0.3493,0.5899,many-shot,2,1,2,0.2
629,MISTRAL_NEMO,0.4594,0.3158,0.3491,0.4964,one-shot,2,2,1,0.5
630,QWEN2,0.4165,0.4362,0.3485,0.3525,few-shot,2,1,2,0.5
631,LLAMA3.1,0.471,0.2878,0.3484,0.3741,few-shot,1,2,1,0.0
632,LLAMA3.1,0.5168,0.3255,0.3484,0.5324,one-shot,1,1,2,0.5
633,GEMMA2-9B,0.3928,0.3455,0.3483,0.554,zero-shot,1,1,,0.5
634,GEMMA2-2B,0.4223,0.3358,0.3483,0.518,zero-shot,1,2,,0.0
635,GEMMA2-27B,0.4033,0.3424,0.3482,0.518,zero-shot,2,1,,0.5
636,LLAMA3.1,0.4542,0.3494,0.3475,0.4748,few-shot,3,2,1,0.0
637,LLAMA3.1,0.4648,0.3295,0.3473,0.482,one-shot,2,1,1,0.5
638,QWEN2,0.4341,0.3528,0.3472,0.4748,zero-shot,1,2,,1.0
639,PHI3_MEDIUM,0.3799,0.3705,0.3471,0.446,few-shot,3,2,2,0.2
640,LLAMA3.1,0.4912,0.3144,0.3469,0.518,zero-shot,3,2,,0.2
641,MISTRAL_NEMO,0.3895,0.3879,0.3465,0.3885,few-shot,2,2,1,1.0
642,PHI3_MEDIUM,0.3871,0.3705,0.3465,0.4532,few-shot,2,2,2,0.0
643,PHI3_MEDIUM,0.3871,0.3705,0.3465,0.4532,few-shot,1,2,2,0.0
644,QWEN2,0.3894,0.3458,0.3465,0.4532,many-shot,1,2,2,0.5
645,MISTRAL_NEMO,0.4637,0.3164,0.3464,0.5108,one-shot,2,2,1,0.2
646,MISTRAL_NEMO,0.5,0.3903,0.3463,0.4029,one-shot,2,1,2,0.0
647,LLAMA3.1,0.4021,0.3453,0.3462,0.4317,one-shot,3,1,1,0.0
648,GEMMA2-9B,0.4416,0.353,0.3462,0.5252,one-shot,1,1,1,0.2
649,QWEN2,0.4212,0.3305,0.3461,0.482,few-shot,2,2,2,0.5
650,LLAMA3.1,0.3983,0.3251,0.3461,0.4173,many-shot,1,1,2,0.5
651,LLAMA3.1,0.422,0.3238,0.346,0.4604,one-shot,3,2,1,0.2
652,MISTRAL_NEMO,0.4402,0.3483,0.3457,0.4676,one-shot,3,1,2,1.0
653,LLAMA3.1,0.44,0.3101,0.3452,0.5971,few-shot,3,2,2,1.0
654,LLAMA3.1,0.4635,0.2882,0.3442,0.3453,few-shot,1,2,1,0.2
655,LLAMA3.1,0.4889,0.3104,0.3439,0.518,zero-shot,3,2,,0.0
656,PHI3_MEDIUM,0.3777,0.3739,0.3437,0.4388,few-shot,1,2,2,0.2
657,GEMMA2-9B,0.3887,0.3395,0.3436,0.5324,zero-shot,1,1,,0.2
658,LLAMA3.1,0.3864,0.3251,0.3436,0.4964,many-shot,2,1,2,1.0
659,MISTRAL_NEMO,0.4684,0.3881,0.343,0.3669,many-shot,3,2,2,0.5
660,MISTRAL_NEMO,0.4102,0.3429,0.3424,0.4388,one-shot,2,2,2,1.0
661,PHI3.5_MINI,0.3746,0.3872,0.3424,0.4245,many-shot,2,2,2,0.0
662,MISTRAL_NEMO,0.411,0.4375,0.3423,0.4029,few-shot,3,1,2,0.2
663,LLAMA3.1,0.5463,0.3319,0.3422,0.5683,one-shot,2,1,2,1.0
664,LLAMA3,0.4488,0.387,0.342,0.3885,few-shot,3,1,1,0.0
665,QWEN2,0.4447,0.3077,0.342,0.4532,one-shot,2,2,2,1.0
666,MISTRAL_NEMO,0.5236,0.4013,0.3416,0.3309,few-shot,2,2,2,0.0
667,LLAMA3.1,0.4385,0.3255,0.3416,0.4964,one-shot,2,2,1,1.0
668,LLAMA3,0.4888,0.325,0.3416,0.482,zero-shot,2,2,,0.0
669,QWEN2,0.3882,0.382,0.3414,0.3597,few-shot,3,1,2,0.5
670,LLAMA3.1,0.3997,0.3511,0.3411,0.4245,one-shot,3,1,1,0.5
671,GEMMA2-2B,0.3883,0.3235,0.341,0.4676,one-shot,3,2,2,0.2
672,GEMMA2-2B,0.4049,0.332,0.3407,0.5036,zero-shot,1,2,,0.5
673,GEMMA2-2B,0.4043,0.3304,0.3404,0.4604,zero-shot,3,2,,0.5
674,PHI3_MEDIUM,0.3526,0.4169,0.3404,0.3885,few-shot,2,2,2,1.0
675,QWEN2,0.4611,0.3684,0.3403,0.4388,one-shot,2,2,1,0.5
676,QWEN2,0.3911,0.4083,0.3402,0.3885,few-shot,3,1,2,0.2
677,GEMMA2-9B,0.4115,0.3266,0.34,0.5612,zero-shot,2,1,,0.5
678,GEMMA2-9B,0.4115,0.3266,0.34,0.5612,zero-shot,2,1,,0.2
679,GEMMA2-9B,0.3859,0.336,0.3398,0.5324,zero-shot,1,1,,0.0
680,MISTRAL_NEMO,0.7353,0.4053,0.3396,0.2878,few-shot,1,1,1,0.0
681,MISTRAL_NEMO,0.5032,0.3859,0.3395,0.4029,one-shot,2,1,2,0.2
682,LLAMA3.1,0.4386,0.3266,0.3392,0.4317,one-shot,1,1,1,0.5
683,LLAMA3.2_3B,0.4273,0.3238,0.3386,0.5324,one-shot,1,2,2,0.2
684,LLAMA3.1,0.3787,0.3281,0.3386,0.4748,one-shot,3,2,1,0.0
685,GEMMA2-27B,0.3872,0.3404,0.3386,0.5108,zero-shot,2,1,,0.2
686,GEMMA2-2B,0.399,0.3748,0.338,0.3957,one-shot,1,2,1,0.0
687,GEMMA2-2B,0.6315,0.3098,0.338,0.5755,few-shot,1,2,2,0.2
688,GEMMA2-2B,0.3905,0.4248,0.3379,0.3957,few-shot,3,1,2,0.5
689,GEMMA2-9B,0.3876,0.3265,0.3377,0.5108,zero-shot,1,1,,1.0
690,LLAMA3.2_3B,0.4171,0.3273,0.3373,0.4892,one-shot,1,1,2,1.0
691,PHI3_MEDIUM,0.3611,0.3748,0.3372,0.446,few-shot,3,2,2,0.0
692,QWEN2,0.408,0.4336,0.337,0.3597,few-shot,1,1,2,0.5
693,QWEN2,0.3681,0.3489,0.337,0.4388,many-shot,1,2,2,1.0
694,LLAMA3,0.4679,0.3066,0.3369,0.4101,zero-shot,3,1,,1.0
695,QWEN2,0.4522,0.3664,0.3368,0.4317,one-shot,2,2,1,0.2
696,LLAMA3.1,0.3963,0.3365,0.3367,0.4173,one-shot,3,1,1,0.2
697,PHI3.5_MINI,0.4271,0.3575,0.3363,0.3813,many-shot,3,2,1,0.5
698,LLAMA3.1,0.3761,0.3358,0.3358,0.4388,one-shot,3,2,1,0.5
699,GEMMA2-2B,0.4161,0.3309,0.3358,0.4245,one-shot,2,2,1,0.0
700,LLAMA3.2_3B,0.385,0.3943,0.3354,0.4388,few-shot,1,2,1,0.5
701,GEMMA2-27B,0.3771,0.3487,0.3347,0.5324,zero-shot,2,2,,1.0
702,QWEN2,0.3556,0.3625,0.3346,0.4604,many-shot,3,2,2,0.5
703,GEMMA2-27B,0.3833,0.3384,0.3346,0.5036,zero-shot,2,1,,0.0
704,MISTRAL_NEMO,0.5013,0.4056,0.3342,0.3309,few-shot,2,2,2,0.2
705,LLAMA3.1,0.532,0.278,0.3341,0.5396,few-shot,1,1,2,0.0
706,MISTRAL_NEMO,0.4661,0.3836,0.3338,0.3525,many-shot,3,2,2,0.2
707,QWEN2,0.5724,0.3846,0.3337,0.295,few-shot,3,1,1,0.2
708,GEMMA2-2B,0.3684,0.3498,0.3335,0.4532,one-shot,3,2,2,0.5
709,LLAMA3.1,0.4454,0.3119,0.3334,0.4604,few-shot,3,2,1,0.2
710,MISTRAL_NEMO,0.3955,0.4232,0.3331,0.3957,few-shot,3,2,2,1.0
711,LLAMA3.1,0.4073,0.3158,0.3329,0.5324,many-shot,2,1,2,0.5
712,PHI3.5_MINI,0.3847,0.3732,0.3329,0.3741,many-shot,1,2,2,0.0
713,PHI3.5_MINI,0.3432,0.3957,0.3328,0.4173,many-shot,3,1,2,0.2
714,GEMMA2-2B,0.3638,0.3431,0.3328,0.446,one-shot,3,2,2,1.0
715,MISTRAL_NEMO,0.6365,0.302,0.3318,0.5396,one-shot,3,1,1,0.5
716,GEMMA2-2B,0.3817,0.3678,0.3318,0.3741,one-shot,1,2,1,0.2
717,MISTRAL_NEMO,0.3969,0.3436,0.3317,0.3669,few-shot,2,2,1,0.2
718,QWEN2,0.4307,0.3236,0.3306,0.4029,one-shot,2,2,1,1.0
719,QWEN2,0.4708,0.3655,0.3304,0.3453,zero-shot,3,1,,0.0
720,GEMMA2-2B,0.4886,0.3071,0.3303,0.554,few-shot,3,2,2,0.5
721,LLAMA3.1,0.4593,0.3037,0.3302,0.4173,many-shot,3,2,1,0.5
722,PHI3.5_MINI,0.3704,0.3378,0.3302,0.4317,few-shot,3,2,2,1.0
723,LLAMA3,0.4775,0.3156,0.33,0.4532,zero-shot,2,2,,0.2
724,QWEN2,0.4841,0.413,0.33,0.2806,many-shot,3,1,1,1.0
725,QWEN2,0.4183,0.3472,0.3298,0.4317,many-shot,1,2,1,1.0
726,LLAMA3.2_3B,0.4297,0.32,0.3298,0.518,few-shot,1,2,2,1.0
727,LLAMA3.1,0.4299,0.2962,0.3296,0.4892,few-shot,2,1,2,1.0
728,GEMMA2-2B,0.4095,0.3345,0.3289,0.3597,few-shot,1,1,2,0.5
729,GEMMA2-2B,0.3692,0.3188,0.3287,0.4532,one-shot,3,2,2,0.0
730,LLAMA3.1,0.511,0.2543,0.3287,0.446,few-shot,1,1,2,1.0
731,QWEN2,0.4791,0.3388,0.3287,0.3453,zero-shot,3,1,,1.0
732,GEMMA2-27B,0.379,0.3239,0.3287,0.4892,zero-shot,2,1,,1.0
733,QWEN2,0.3581,0.3691,0.3285,0.446,many-shot,2,2,2,1.0
734,PHI3_MEDIUM,0.382,0.3272,0.3284,0.3741,one-shot,2,2,2,1.0
735,PHI3.5_MINI,0.401,0.3241,0.3281,0.3381,one-shot,3,2,1,0.2
736,LLAMA3,0.4714,0.2996,0.3279,0.3453,few-shot,2,2,2,0.5
737,LLAMA3.2_3B,0.4241,0.3267,0.3278,0.5324,few-shot,2,2,2,0.0
738,LLAMA3.1,0.4557,0.3027,0.3276,0.4676,many-shot,3,2,1,0.0
739,LLAMA3.2_3B,0.4214,0.3267,0.3275,0.5324,few-shot,2,2,2,0.2
740,LLAMA3.1,0.4328,0.3979,0.3275,0.3669,few-shot,3,1,1,0.2
741,QWEN2,0.3977,0.3965,0.3272,0.3669,few-shot,1,1,2,0.2
742,MISTRAL_NEMO,0.3663,0.3828,0.3269,0.4101,few-shot,1,2,1,0.5
743,QWEN2,0.4684,0.3632,0.3268,0.3381,zero-shot,3,1,,0.2
744,MISTRAL_NEMO,0.3484,0.3477,0.3263,0.4317,one-shot,1,2,2,1.0
745,GEMMA2-2B,0.3926,0.3444,0.3263,0.3957,one-shot,2,2,1,0.5
746,MISTRAL_NEMO,0.4188,0.3078,0.3261,0.3453,few-shot,2,2,1,0.0
747,PHI3.5_MINI,0.4569,0.3412,0.3261,0.3597,few-shot,1,2,2,0.5
748,QWEN2,0.5319,0.3027,0.3261,0.3525,one-shot,3,1,2,0.0
749,QWEN2,0.3523,0.3709,0.3257,0.4532,few-shot,2,2,1,1.0
750,QWEN2,0.4384,0.315,0.3256,0.482,one-shot,3,2,2,1.0
751,PHI3.5_MINI,0.3359,0.3922,0.3254,0.4029,few-shot,3,1,2,1.0
752,GEMMA2-2B,0.4108,0.4088,0.3254,0.3957,few-shot,1,1,1,0.5
753,LLAMA3,0.3803,0.3222,0.325,0.3957,few-shot,3,2,2,0.5
754,PHI3_MEDIUM,0.3413,0.343,0.3249,0.4317,many-shot,2,2,2,0.5
755,MISTRAL_NEMO,0.6352,0.4042,0.3246,0.3237,few-shot,2,1,1,0.5
756,LLAMA3,0.4654,0.2978,0.3246,0.3381,few-shot,2,2,2,0.0
757,PHI3.5_MINI,0.432,0.3475,0.3246,0.3957,zero-shot,2,2,,1.0
758,LLAMA3.1,0.4658,0.3033,0.3242,0.5108,zero-shot,2,2,,0.0
759,PHI3_MEDIUM,0.3633,0.3388,0.3234,0.4173,few-shot,2,2,2,0.5
760,PHI3.5_MINI,0.3943,0.3221,0.3234,0.3309,one-shot,3,2,1,0.0
761,QWEN2,0.3905,0.4144,0.3232,0.3741,few-shot,2,1,2,0.0
762,LLAMA3,0.5012,0.2974,0.323,0.4892,zero-shot,3,2,,0.5
763,QWEN2,0.39,0.419,0.3229,0.3165,many-shot,3,1,2,0.5
764,GEMMA2-2B,0.4509,0.3034,0.3226,0.5683,few-shot,1,2,2,0.0
765,LLAMA3,0.412,0.3058,0.3223,0.4029,few-shot,3,2,2,0.0
766,MISTRAL_NEMO,0.5462,0.4749,0.3216,0.3022,few-shot,1,1,1,0.5
767,LLAMA3.1,0.4215,0.328,0.3214,0.4029,many-shot,1,2,1,0.0
768,LLAMA3.2_3B,0.4027,0.3893,0.3211,0.3669,few-shot,3,1,1,0.0
769,LLAMA3.1,0.4496,0.2725,0.3209,0.5324,few-shot,1,1,2,0.2
770,QWEN2,0.3444,0.4053,0.3205,0.3669,few-shot,3,1,2,1.0
771,PHI3.5_MINI,0.3408,0.3248,0.3203,0.4964,one-shot,1,2,2,1.0
772,MISTRAL_NEMO,0.4575,0.2953,0.3203,0.5108,one-shot,1,2,1,0.0
773,LLAMA3,0.4707,0.2794,0.32,0.3381,few-shot,2,2,2,0.2
774,LLAMA3.1,0.4453,0.2978,0.32,0.5036,zero-shot,2,2,,0.5
775,LLAMA3.1,0.4171,0.3012,0.32,0.4173,many-shot,3,2,1,1.0
776,LLAMA3,0.4042,0.3058,0.3197,0.4029,few-shot,3,2,2,0.2
777,GEMMA2-27B,0.3802,0.3209,0.3193,0.482,zero-shot,1,1,,0.0
778,LLAMA3.1,0.4281,0.3063,0.3191,0.4029,many-shot,1,2,1,0.5
779,QWEN2,0.5055,0.2987,0.3188,0.3525,one-shot,3,1,2,0.2
780,PHI3.5_MINI,0.3213,0.3823,0.3184,0.3957,few-shot,3,1,2,0.0
781,PHI3.5_MINI,0.3271,0.3768,0.3183,0.3885,few-shot,3,1,2,0.2
782,LLAMA3.2_3B,0.4749,0.2973,0.3182,0.554,one-shot,2,1,2,0.2
783,LLAMA3.2_3B,0.4065,0.3341,0.3179,0.3669,many-shot,1,2,1,0.2
784,LLAMA3.1,0.4554,0.2522,0.3178,0.3381,few-shot,1,2,1,0.5
785,GEMMA2-2B,0.3886,0.313,0.3177,0.4748,zero-shot,1,2,,1.0
786,GEMMA2-2B,0.3926,0.3172,0.3177,0.3957,one-shot,2,2,1,0.2
787,QWEN2,0.4974,0.3328,0.3174,0.295,one-shot,3,1,1,0.2
788,PHI3.5_MINI,0.3505,0.3248,0.3174,0.4964,one-shot,1,2,2,0.0
789,LLAMA3.1,0.5151,0.2839,0.3171,0.5971,few-shot,2,1,2,0.0
790,GEMMA2-2B,0.3473,0.3825,0.317,0.3597,few-shot,2,1,1,1.0
791,GEMMA2-9B,0.3888,0.3007,0.3169,0.5468,zero-shot,2,1,,0.0
792,MISTRAL_NEMO,0.3794,0.3115,0.3169,0.3453,few-shot,2,2,1,0.5
793,PHI3.5_MINI,0.3445,0.3248,0.3169,0.4964,one-shot,1,2,2,0.5
794,PHI3_MEDIUM,0.3442,0.3119,0.3168,0.4245,one-shot,3,2,2,1.0
795,LLAMA3.2_3B,0.4096,0.4003,0.3163,0.3669,one-shot,1,2,1,0.2
796,PHI3.5_MINI,0.3722,0.3616,0.3162,0.3813,few-shot,2,2,2,0.2
797,PHI3.5_MINI,0.3398,0.3234,0.3159,0.4676,one-shot,2,2,2,1.0
798,GEMMA2-27B,0.3763,0.3154,0.3158,0.4748,zero-shot,1,1,,0.2
799,LLAMA3.1,0.3758,0.3133,0.3157,0.5036,one-shot,2,1,1,0.2
800,LLAMA3.2_3B,0.3862,0.3844,0.3157,0.3525,few-shot,3,1,1,0.2
801,PHI3.5_MINI,0.4382,0.2915,0.3155,0.3597,few-shot,1,2,2,1.0
802,PHI3.5_MINI,0.3463,0.3167,0.3153,0.4676,one-shot,2,2,2,0.2
803,LLAMA3.1,0.4329,0.311,0.3153,0.5108,zero-shot,1,2,,0.0
804,LLAMA3.2_3B,0.458,0.3518,0.3152,0.3094,zero-shot,1,2,,0.2
805,LLAMA3.2_3B,0.3417,0.4009,0.3147,0.3813,one-shot,1,2,1,0.0
806,PHI3.5_MINI,0.342,0.3167,0.3147,0.4676,one-shot,2,2,2,0.0
807,PHI3_MEDIUM,0.3504,0.3763,0.3146,0.4101,many-shot,3,2,2,0.2
808,PHI3.5_MINI,0.3409,0.3167,0.3144,0.4676,one-shot,2,2,2,0.5
809,LLAMA3.1,0.4118,0.2825,0.3144,0.3525,few-shot,2,2,1,0.5
810,LLAMA3,0.4416,0.2942,0.3141,0.4532,zero-shot,2,2,,0.5
811,MISTRAL_NEMO,0.4372,0.2912,0.3141,0.4964,one-shot,1,2,1,0.2
812,LLAMA3.1,0.3692,0.37,0.3139,0.4101,few-shot,2,1,1,0.5
813,PHI3.5_MINI,0.4171,0.3389,0.3137,0.3525,few-shot,1,2,2,0.2
814,QWEN2,0.541,0.3632,0.3137,0.295,few-shot,3,1,1,0.0
815,GEMMA2-27B,0.361,0.3243,0.3136,0.5108,zero-shot,2,2,,0.0
816,LLAMA3.2_3B,0.3417,0.3548,0.3134,0.446,one-shot,3,2,2,0.5
817,QWEN2,0.3879,0.3015,0.3132,0.4388,zero-shot,2,2,,0.5
818,QWEN2,0.4942,0.3264,0.3132,0.2878,one-shot,3,1,1,0.0
819,GEMMA2-27B,0.3723,0.3169,0.313,0.4676,zero-shot,1,1,,0.5
820,GEMMA2-2B,0.3452,0.3317,0.313,0.5612,few-shot,3,2,2,1.0
821,PHI3_MEDIUM,0.3364,0.3544,0.3128,0.3813,few-shot,1,2,2,1.0
822,GEMMA2-9B,0.3825,0.2987,0.3128,0.5396,zero-shot,2,1,,1.0
823,PHI3_MEDIUM,0.3211,0.3591,0.3126,0.4317,few-shot,3,2,2,1.0
824,PHI3_MEDIUM,0.3244,0.3397,0.3123,0.4029,few-shot,3,2,2,0.5
825,LLAMA3.2_3B,0.3476,0.3425,0.3122,0.4892,many-shot,3,2,2,0.5
826,PHI3.5_MINI,0.3479,0.3193,0.312,0.4892,one-shot,1,2,2,0.2
827,LLAMA3.2_3B,0.4594,0.2843,0.312,0.5108,one-shot,1,1,2,0.2
828,PHI3.5_MINI,0.4119,0.3461,0.3118,0.3525,many-shot,3,1,1,0.2
829,MISTRAL_NEMO,0.4867,0.3281,0.3117,0.3669,many-shot,2,2,2,0.2
830,LLAMA3.2_3B,0.3938,0.353,0.3108,0.3525,many-shot,1,2,1,0.0
831,PHI3.5_MINI,0.3612,0.3335,0.3107,0.3237,one-shot,1,1,2,1.0
832,PHI3.5_MINI,0.4205,0.3352,0.3103,0.3525,few-shot,1,2,2,0.0
833,MISTRAL_NEMO,0.5109,0.393,0.3103,0.3669,one-shot,1,1,2,0.0
834,MISTRAL_NEMO,0.5093,0.393,0.3102,0.3669,one-shot,1,1,2,0.2
835,PHI3.5_MINI,0.3757,0.3324,0.3101,0.3381,many-shot,1,1,2,0.0
836,MISTRAL_NEMO,0.4303,0.2965,0.31,0.3094,many-shot,2,2,1,0.2
837,MISTRAL_NEMO,0.447,0.3529,0.3098,0.3381,many-shot,3,2,2,0.0
838,LLAMA3.1,0.3231,0.3401,0.3097,0.446,one-shot,3,1,1,1.0
839,PHI3.5_MINI,0.4852,0.3401,0.3094,0.3957,zero-shot,1,2,,1.0
840,LLAMA3.1,0.4534,0.3019,0.3094,0.4748,one-shot,2,1,1,0.0
841,QWEN2,0.4505,0.3497,0.3093,0.3094,zero-shot,3,1,,0.5
842,MISTRAL_NEMO,0.4333,0.2665,0.309,0.3094,many-shot,2,2,1,0.0
843,GEMMA2-27B,0.3684,0.3094,0.3089,0.4532,zero-shot,1,1,,1.0
844,LLAMA3.1,0.4611,0.2735,0.3087,0.5468,few-shot,2,1,2,0.5
845,MISTRAL_NEMO,0.3546,0.347,0.308,0.4173,few-shot,1,2,1,0.0
846,PHI3.5_MINI,0.4266,0.2913,0.308,0.3309,few-shot,3,2,1,1.0
847,LLAMA3.2_3B,0.3845,0.2939,0.3076,0.4892,many-shot,1,1,2,0.0
848,PHI3.5_MINI,0.3321,0.3631,0.3073,0.3957,many-shot,3,1,2,0.0
849,QWEN2,0.4904,0.3559,0.3073,0.2734,many-shot,3,1,1,0.2
850,GEMMA2-2B,0.3891,0.3893,0.3072,0.3885,few-shot,1,1,1,0.0
851,QWEN2,0.3471,0.3207,0.3072,0.4317,many-shot,3,2,2,1.0
852,LLAMA3.1,0.4161,0.2987,0.307,0.4245,one-shot,1,1,1,0.0
853,PHI3.5_MINI,0.4,0.2996,0.3069,0.3453,one-shot,3,2,1,0.5
854,LLAMA3,0.3623,0.3399,0.3063,0.3885,few-shot,3,2,1,1.0
855,MISTRAL_NEMO,0.43,0.2643,0.3061,0.482,one-shot,1,2,1,1.0
856,PHI3.5_MINI,0.3489,0.3391,0.306,0.3813,many-shot,3,2,1,0.0
857,LLAMA3.2_3B,0.3702,0.2989,0.3059,0.482,one-shot,2,2,2,0.0
858,LLAMA3,0.3494,0.3243,0.3052,0.4029,few-shot,3,2,1,0.5
859,LLAMA3.2_3B,0.3265,0.422,0.3052,0.3597,one-shot,3,1,1,1.0
860,PHI3.5_MINI,0.4195,0.3435,0.3051,0.3669,zero-shot,2,2,,0.2
861,PHI3.5_MINI,0.3142,0.369,0.3047,0.3741,few-shot,3,1,2,0.5
862,GEMMA2-2B,0.5596,0.3015,0.3043,0.5396,few-shot,1,2,1,0.5
863,MISTRAL_NEMO,0.394,0.2885,0.304,0.4173,one-shot,3,2,2,1.0
864,PHI3.5_MINI,0.3748,0.331,0.304,0.3669,few-shot,2,2,2,0.0
865,LLAMA3.1,0.4201,0.2978,0.3037,0.4892,zero-shot,1,2,,0.5
866,PHI3_MEDIUM,0.3189,0.3217,0.3034,0.4245,many-shot,1,2,2,0.5
867,MISTRAL_NEMO,0.3542,0.3321,0.3033,0.4029,few-shot,1,2,1,0.2
868,LLAMA3.2_3B,0.3824,0.3173,0.3026,0.4532,one-shot,3,2,2,1.0
869,LLAMA3.2_3B,0.328,0.3223,0.3022,0.4532,few-shot,1,1,2,0.5
870,LLAMA3.2_3B,0.357,0.2877,0.3018,0.4964,many-shot,1,1,2,0.2
871,GEMMA2-27B,0.3531,0.3059,0.3016,0.5108,zero-shot,2,2,,0.2
872,LLAMA3.1,0.3509,0.3139,0.3014,0.4245,few-shot,3,2,1,1.0
873,LLAMA3.2_3B,0.3611,0.2989,0.3012,0.482,one-shot,2,2,2,0.2
874,LLAMA3.2_3B,0.3899,0.3063,0.3011,0.4317,few-shot,2,2,1,0.0
875,LLAMA3,0.4349,0.2696,0.3008,0.4029,one-shot,1,1,2,0.2
876,GEMMA2-2B,0.3795,0.3253,0.3008,0.3237,one-shot,1,2,2,0.5
877,PHI3.5_MINI,0.3629,0.3089,0.3006,0.2878,one-shot,1,1,2,0.0
878,LLAMA3,0.3962,0.2766,0.3005,0.3381,few-shot,3,2,2,1.0
879,QWEN2,0.479,0.2811,0.3001,0.3237,one-shot,3,1,2,0.5
880,MISTRAL_NEMO,0.5548,0.3263,0.3001,0.3525,one-shot,1,1,2,0.5
881,PHI3.5_MINI,0.3616,0.3434,0.3,0.2806,few-shot,2,1,2,0.5
882,PHI3.5_MINI,0.3338,0.3391,0.2997,0.3813,many-shot,3,2,1,0.2
883,LLAMA3,0.387,0.2697,0.2995,0.4317,one-shot,3,1,2,0.0
884,PHI3.5_MINI,0.4279,0.3231,0.2995,0.3597,zero-shot,2,2,,0.0
885,QWEN2,0.5164,0.387,0.2994,0.2374,few-shot,1,1,1,1.0
886,LLAMA3.2_3B,0.3129,0.3161,0.2994,0.446,few-shot,3,2,2,0.0
887,LLAMA3.1,0.4175,0.2985,0.2993,0.4245,one-shot,1,1,1,0.2
888,LLAMA3.2_3B,0.3121,0.3161,0.2992,0.446,few-shot,3,2,2,1.0
889,LLAMA3,0.4227,0.3638,0.2992,0.2806,one-shot,3,1,1,0.2
890,LLAMA3.1,0.4307,0.2768,0.2989,0.4532,zero-shot,2,2,,1.0
891,PHI3_MEDIUM,0.3285,0.351,0.2988,0.3525,many-shot,1,2,2,1.0
892,LLAMA3.1,0.4404,0.2478,0.2988,0.482,few-shot,1,1,2,0.5
893,GEMMA2-2B,0.3733,0.2799,0.2987,0.5036,few-shot,3,2,1,0.0
894,PHI3.5_MINI,0.3273,0.3282,0.2986,0.3741,many-shot,1,2,2,1.0
895,LLAMA3.1,0.4025,0.2756,0.2983,0.4317,zero-shot,3,2,,1.0
896,PHI3.5_MINI,0.3585,0.3106,0.2983,0.295,one-shot,1,1,2,0.2
897,QWEN2,0.36,0.3588,0.2979,0.3165,zero-shot,1,1,,0.5
898,PHI3.5_MINI,0.3575,0.322,0.2977,0.3597,few-shot,2,2,2,1.0
